Gene ID	Gene Name	7 day	8 day	9 day	10 day	11 day	12 day	13 day	14 day	15 day	16 day
AT3G53380	LECRK81	29.0	22.0	20.0	28.0	21.0	25.0	34.0	34.0	31.0	28.0
AT3G53390	AT3G53390	14.0	9.0	8.0	10.0	5.0	10.0	12.0	11.0	11.0	13.0
AT3G53400	AT3G53400	12.0	12.0	13.0	18.0	9.0	19.0	23.0	22.0	28.0	34.0
AT3G53410	LUL2	14.0	9.0	11.0	8.0	6.0	10.0	8.0	9.0	8.0	10.0
AT3G53420	PIP2-1	49.0	63.0	54.0	26.0	45.0	35.0	22.0	20.0	22.0	27.0
AT3G53430	RPL12B	806.0	771.0	795.0	629.0	1149.0	768.0	668.0	689.0	624.0	441.0
AT3G53440	AT3G53440	17.0	7.0	6.0	9.0	6.0	8.0	11.0	9.0	8.0	8.0
AT3G53450	LOG4	4.0	6.0	7.0	12.0	12.0	10.0	8.0	8.0	9.0	8.0
AT3G53460	CP29	503.0	580.0	429.0	335.0	385.0	460.0	354.0	387.0	408.0	430.0
AT3G53470	AT3G53470	4.0	6.0	7.0	5.0	10.0	7.0	7.0	7.0	13.0	21.0
AT3G53480	ABCG37	0.7	1.0	1.0	1.0	0.3	0.5	0.3	0.1	0.2	0.3
AT3G53490	AT3G53490	4.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0
AT3G53500	RS2Z32	70.0	66.0	60.0	73.0	67.0	75.0	80.0	74.0	66.0	85.0
AT3G53510	ABCG20	1.0	3.0	3.0	4.0	2.0	4.0	5.0	5.0	3.0	5.0
AT3G53520	UXS1	37.0	37.0	40.0	37.0	34.0	34.0	39.0	38.0	34.0	32.0
AT3G53530	NAKR3	4.0	4.0	4.0	3.0	4.0	4.0	3.0	2.0	5.0	6.0
AT3G53540	AT3G53540	33.0	22.0	25.0	38.0	21.0	34.0	34.0	27.0	15.0	16.0
AT3G53560	AT3G53560	50.0	39.0	35.0	31.0	32.0	34.0	27.0	29.0	28.0	25.0
AT3G53570	AFC1	4.0	5.0	6.0	9.0	4.0	7.0	7.0	6.0	8.0	12.0
AT3G53580	DAPF	96.0	92.0	85.0	93.0	107.0	98.0	100.0	92.0	75.0	67.0
AT3G53610	RABE1A	39.0	39.0	37.0	39.0	34.0	36.0	34.0	31.0	37.0	40.0
AT3G53620	PPA4	48.0	45.0	39.0	42.0	38.0	35.0	33.0	28.0	25.0	22.0
AT3G53630	AT3G53630	45.0	32.0	34.0	33.0	32.0	35.0	32.0	32.0	35.0	34.0
AT3G53650	AT3G53650	63.0	44.0	51.0	49.0	77.0	50.0	46.0	49.0	56.0	38.0
AT3G53670	AT3G53670	56.0	45.0	40.0	50.0	36.0	47.0	51.0	46.0	51.0	53.0
AT3G53680	AT3G53680	6.0	5.0	6.0	10.0	5.0	8.0	10.0	8.0	8.0	9.0
AT3G53690	AT3G53690		0.9	1.0	0.9	1.0	0.5	0.2	0.4	0.1	0.3
AT3G53700	MEE40	10.0	10.0	11.0	11.0	10.0	10.0	10.0	10.0	11.0	10.0
